City,YEAR,MONTH,Air Pollutant #1
BIRMINGHAM,2024,1,12.0
BIRMINGHAM,2024,2,13.0
BIRMINGHAM,2024,3,14.0
BIRMINGHAM,2024,4,13.0
BIRMINGHAM,2024,5,20.0
BIRMINGHAM,2024,6,12.0
BIRMINGHAM,2024,7,17.0
BIRMINGHAM,2024,8,13.0
BIRMINGHAM,2024,9,12.5
BIRMINGHAM,2024,10,13.0
BIRMINGHAM,2024,11,16.5
BIRMINGHAM,2024,12,12.5
BIRMINGHAM,2025,1,14.0
BIRMINGHAM,2025,2,24.0
BIRMINGHAM,2025,3,11.0
BIRMINGHAM,2025,4,25.0
BRISTOL,2024,1,14.0
BRISTOL,2024,2,12.0
BRISTOL,2024,3,14.0
BRISTOL,2024,4,13.0
BRISTOL,2024,5,18.0
BRISTOL,2024,6,12.0
BRISTOL,2024,7,15.0
BRISTOL,2024,9,11.0
BRISTOL,2024,10,11.0
BRISTOL,2024,11,12.0
BRISTOL,2024,12,11.0
BRISTOL,2025,1,12.0
BRISTOL,2025,2,18.0
BRISTOL,2025,3,13.0
BRISTOL,2025,4,16.0
BRISTOL,2025,5,9.0
BRISTOL,2025,6,8.0
Barnstaple A39,2024,1,13.0
Barnstaple A39,2024,2,17.0
Barnstaple A39,2024,3,13.0
Bury Whitefield Roadside,2024,1,13.0
Bury Whitefield Roadside,2024,2,13.0
Bury Whitefield Roadside,2024,3,15.0
Bury Whitefield Roadside,2024,4,12.0
Bury Whitefield Roadside,2024,5,17.0
Bury Whitefield Roadside,2024,6,13.0
Bury Whitefield Roadside,2024,7,14.0
Bury Whitefield Roadside,2024,8,9.0
Bury Whitefield Roadside,2024,9,10.0
Bury Whitefield Roadside,2024,10,13.0
CARLISLE,2024,1,13.0
CARLISLE,2024,2,16.0
CARLISLE,2024,3,17.0
CARLISLE,2024,4,14.0
CARLISLE,2024,5,14.0
CARLISLE,2024,6,14.0
CARLISLE,2024,7,12.0
CARLISLE,2024,8,9.0
CARLISLE,2024,9,10.0
CARLISLE,2024,10,11.0
CARLISLE,2024,11,12.0
CHESTERFIELD,2024,1,12.0
CHESTERFIELD,2024,2,12.5
CHESTERFIELD,2024,3,16.0
CHESTERFIELD,2024,4,12.5
CHESTERFIELD,2024,5,17.5
CHESTERFIELD,2024,6,16.0
CHESTERFIELD,2024,7,12.5
CHESTERFIELD,2024,8,8.5
CHESTERFIELD,2024,9,9.0
CHESTERFIELD,2024,10,11.0
CHESTERFIELD,2024,11,15.5
CHESTERFIELD,2024,12,12.5
CHESTERFIELD,2025,1,11.5
CHESTERFIELD,2025,2,18.0
CHESTERFIELD,2025,3,11.0
CHESTERFIELD,2025,4,21.0
CHESTERFIELD,2025,5,10.0
CHESTERFIELD,2025,6,8.0
COVENTRY,2024,1,14.0
COVENTRY,2024,2,15.0
COVENTRY,2024,3,18.0
COVENTRY,2024,4,15.0
COVENTRY,2024,5,20.0
COVENTRY,2024,6,13.0
COVENTRY,2024,7,14.0
COVENTRY,2024,8,12.0
COVENTRY,2024,9,14.0
Camden Kerbside,2024,1,16.0
Camden Kerbside,2024,2,20.0
Camden Kerbside,2024,3,21.0
Camden Kerbside,2024,4,19.0
Camden Kerbside,2024,5,23.0
Camden Kerbside,2024,6,18.0
Camden Kerbside,2024,7,20.0
Camden Kerbside,2024,8,12.0
Camden Kerbside,2024,9,16.0
Camden Kerbside,2024,10,16.0
Camden Kerbside,2024,11,20.0
Camden Kerbside,2024,12,16.0
Camden Kerbside,2025,1,19.0
Camden Kerbside,2025,2,24.0
Camden Kerbside,2025,3,15.0
Camden Kerbside,2025,4,26.0
Camden Kerbside,2025,5,15.0
Camden Kerbside,2025,6,14.0
Camden Kerbside,2025,7,13.0
Camden Kerbside,2025,8,16.0
Camden Kerbside,2025,9,14.0
Camden Kerbside,2025,10,14.0
Camden Kerbside,2025,11,16.0
Camden Kerbside,2025,12,14.0
Chilbolton Observatory,2024,1,10.0
Chilbolton Observatory,2024,2,12.0
Chilbolton Observatory,2024,3,12.0
Chilbolton Observatory,2024,4,12.0
Chilbolton Observatory,2024,5,17.0
Chilbolton Observatory,2024,6,12.0
Chilbolton Observatory,2024,7,16.0
Ealing Horn Lane,2024,1,20.0
Ealing Horn Lane,2024,2,19.0
Ealing Horn Lane,2024,3,23.0
Ealing Horn Lane,2024,4,22.0
Ealing Horn Lane,2024,5,28.0
Ealing Horn Lane,2024,6,21.0
Ealing Horn Lane,2024,7,24.0
Ealing Horn Lane,2024,8,20.0
Ealing Horn Lane,2024,9,22.0
Ealing Horn Lane,2024,10,20.0
