City,YEAR,MONTH,Prescription_Qty,Population,Population_Thousands,Presc_per_thous
AMERSHAM,2024,1,18,17380,17.38,1.0356731875719218
AMERSHAM,2024,2,14,17380,17.38,0.805523590333717
AMERSHAM,2024,3,19,17380,17.38,1.093210586881473
AMERSHAM,2024,4,11,17380,17.38,0.6329113924050633
AMERSHAM,2024,5,18,17380,17.38,1.0356731875719218
AMERSHAM,2024,6,17,17380,17.38,0.9781357882623706
AMERSHAM,2024,7,4,17380,17.38,0.23014959723820486
AMERSHAM,2024,8,6,17380,17.38,0.34522439585730724
AMERSHAM,2024,9,12,17380,17.38,0.6904487917146145
AMERSHAM,2024,10,13,17380,17.38,0.7479861910241657
AMERSHAM,2024,11,5,17380,17.38,0.28768699654775604
AMERSHAM,2024,12,7,17380,17.38,0.4027617951668585
AMERSHAM,2025,1,3,17380,17.38,0.17261219792865362
AMERSHAM,2025,2,2,17380,17.38,0.11507479861910243
AMERSHAM,2025,3,3,17380,17.38,0.17261219792865362
AMERSHAM,2025,4,4,17380,17.38,0.23014959723820486
AMERSHAM,2025,5,10,17380,17.38,0.5753739930955121
AMERSHAM,2025,9,4,17380,17.38,0.23014959723820486
AMERSHAM,2025,10,6,17380,17.38,0.34522439585730724
AMERSHAM,2025,11,8,17380,17.38,0.4602991944764097
AMERSHAM,2025,12,2,17380,17.38,0.11507479861910243
ASHFORD,2024,7,1,135610,135.61,0.007374087456677236
ASHTON-UNDER-LYNE,2024,1,74,48600,48.6,1.522633744855967
ASHTON-UNDER-LYNE,2024,2,80,48600,48.6,1.646090534979424
ASHTON-UNDER-LYNE,2024,3,75,48600,48.6,1.5432098765432098
ASHTON-UNDER-LYNE,2024,4,85,48600,48.6,1.7489711934156378
ASHTON-UNDER-LYNE,2024,5,81,48600,48.6,1.6666666666666665
ASHTON-UNDER-LYNE,2024,6,59,48600,48.6,1.213991769547325
ASHTON-UNDER-LYNE,2024,7,67,48600,48.6,1.3786008230452675
ASHTON-UNDER-LYNE,2024,8,44,48600,48.6,0.9053497942386831
ASHTON-UNDER-LYNE,2024,9,44,48600,48.6,0.9053497942386831
ASHTON-UNDER-LYNE,2024,10,97,48600,48.6,1.9958847736625513
ASHTON-UNDER-LYNE,2024,11,101,48600,48.6,2.0781893004115224
ASHTON-UNDER-LYNE,2024,12,77,48600,48.6,1.5843621399176955
ASHTON-UNDER-LYNE,2025,1,78,48600,48.6,1.6049382716049383
ASHTON-UNDER-LYNE,2025,2,58,48600,48.6,1.1934156378600822
