City,YEAR,MONTH,Air Pollutant #2,Prescription_Qty,Population,Population_Thousands,Presc_per_thous,Presc_per_Poll
BIRMINGHAM,2024,1,8.0,27,1121375,1121.375,0.024077583324044142,0.0030096979155055177
BIRMINGHAM,2024,2,8.5,25,1121375,1121.375,0.022294058633374206,0.002622830427455789
BIRMINGHAM,2024,3,10.0,20,1121375,1121.375,0.017835246906699364,0.0017835246906699365
BIRMINGHAM,2024,4,9.5,19,1121375,1121.375,0.016943484561364398,0.0017835246906699367
BIRMINGHAM,2024,5,13.5,20,1121375,1121.375,0.017835246906699364,0.001321129400496249
BIRMINGHAM,2024,6,9.0,21,1121375,1121.375,0.018727009252034334,0.0020807788057815926
BIRMINGHAM,2024,7,8.5,26,1121375,1121.375,0.023185820978709176,0.0027277436445540208
BIRMINGHAM,2024,8,6.0,17,1121375,1121.375,0.01515995987069446,0.0025266599784490766
BIRMINGHAM,2024,9,6.0,22,1121375,1121.375,0.0196187715973693,0.003269795266228217
BIRMINGHAM,2024,10,6.666666666666667,38,1121375,1121.375,0.033886969122728795,0.005083045368409319
BIRMINGHAM,2024,11,10.0,49,1121375,1121.375,0.043696354921413445,0.004369635492141344
BIRMINGHAM,2024,12,6.333333333333333,57,1121375,1121.375,0.05083045368409319,0.008025861108014714
BIRMINGHAM,2025,1,8.0,31,1121375,1121.375,0.027644632705384014,0.0034555790881730017
BIRMINGHAM,2025,2,15.5,31,1121375,1121.375,0.027644632705384014,0.0017835246906699365
BIRMINGHAM,2025,3,6.5,55,1121375,1121.375,0.04904692899342325,0.007545681383603577
BIRMINGHAM,2025,4,15.0,75,1121375,1121.375,0.06688217590012262,0.004458811726674841
BIRMINGHAM,2025,5,6.0,65,1121375,1121.375,0.057964552446772934,0.009660758741128822
BLACKPOOL,2024,1,7.0,2,149070,149.07,0.013416515730864696,0.0019166451044092421
BLACKPOOL,2024,2,7.0,1,149070,149.07,0.006708257865432348,0.0009583225522046211
BLACKPOOL,2024,3,8.0,1,149070,149.07,0.006708257865432348,0.0008385322331790435
BLACKPOOL,2024,4,7.0,3,149070,149.07,0.02012477359629704,0.002874967656613863
BLACKPOOL,2024,5,8.0,2,149070,149.07,0.013416515730864696,0.001677064466358087
BLACKPOOL,2024,6,7.0,1,149070,149.07,0.006708257865432348,0.0009583225522046211
BLACKPOOL,2024,8,4.0,1,149070,149.07,0.006708257865432348,0.001677064466358087
BLACKPOOL,2024,10,7.0,1,149070,149.07,0.006708257865432348,0.0009583225522046211
BLACKPOOL,2024,12,7.0,2,149070,149.07,0.013416515730864696,0.0019166451044092421
BLACKPOOL,2025,2,17.0,7,149070,149.07,0.046957805058026436,0.0027622238269427316
BLACKPOOL,2025,3,7.0,3,149070,149.07,0.02012477359629704,0.002874967656613863
BLACKPOOL,2025,5,7.0,3,149070,149.07,0.02012477359629704,0.002874967656613863
BLACKPOOL,2025,7,6.0,3,149070,149.07,0.02012477359629704,0.0033541289327161735
BRISTOL,2024,1,9.0,9,425215,425.215,0.021165763202144798,0.0023517514669049774
BRISTOL,2024,2,8.0,8,425215,425.215,0.018814011735239822,0.002351751466904978
BRISTOL,2024,3,9.0,10,425215,425.215,0.023517514669049777,0.002613057185449975
BRISTOL,2024,4,9.0,10,425215,425.215,0.023517514669049777,0.002613057185449975
BRISTOL,2024,5,11.0,11,425215,425.215,0.025869266135954753,0.0023517514669049774
BRISTOL,2024,6,8.0,14,425215,425.215,0.03292452053666969,0.004115565067083711
BRISTOL,2024,7,10.0,11,425215,425.215,0.025869266135954753,0.0025869266135954755
BRISTOL,2024,9,8.0,9,425215,425.215,0.021165763202144798,0.0026457204002680998
BRISTOL,2024,10,8.0,11,425215,425.215,0.025869266135954753,0.003233658266994344
BRISTOL,2024,11,10.0,15,425215,425.215,0.035276272003574666,0.0035276272003574665
BRISTOL,2024,12,7.0,7,425215,425.215,0.016462260268334843,0.002351751466904978
BRISTOL,2025,1,9.0,15,425215,425.215,0.035276272003574666,0.003919585778174963
BRISTOL,2025,2,13.0,11,425215,425.215,0.025869266135954753,0.0019899435489195965
BRISTOL,2025,3,7.0,15,425215,425.215,0.035276272003574666,0.005039467429082095
BRISTOL,2025,4,14.0,12,425215,425.215,0.028221017602859732,0.002015786971632838
BRISTOL,2025,5,6.0,15,425215,425.215,0.035276272003574666,0.005879378667262444
BRISTOL,2025,6,6.0,23,425215,425.215,0.054090283738814485,0.009015047289802415
CARLISLE,2024,1,7.0,7,77730,77.73,0.09005531969638492,0.012865045670912132
CARLISLE,2024,2,8.0,9,77730,77.73,0.11578541103820918,0.014473176379776147
CARLISLE,2024,3,8.0,5,77730,77.73,0.06432522835456066,0.008040653544320082
CARLISLE,2024,4,6.0,7,77730,77.73,0.09005531969638492,0.015009219949397487
CARLISLE,2024,5,7.0,13,77730,77.73,0.1672455937218577,0.0238922276745511
CARLISLE,2024,6,8.0,10,77730,77.73,0.1286504567091213,0.016081307088640164
CARLISLE,2024,7,6.0,5,77730,77.73,0.06432522835456066,0.010720871392426777
CARLISLE,2024,8,4.0,3,77730,77.73,0.03859513701273639,0.009648784253184097
CARLISLE,2024,9,4.0,6,77730,77.73,0.07719027402547278,0.019297568506368195
CARLISLE,2024,10,6.0,6,77730,77.73,0.07719027402547278,0.01286504567091213
CARLISLE,2024,11,8.0,9,77730,77.73,0.11578541103820918,0.014473176379776147
CHESTERFIELD,2024,1,6.5,4,76420,76.42,0.05234231876472128,0.008052664425341735
CHESTERFIELD,2024,2,7.0,3,76420,76.42,0.03925673907354096,0.005608105581934422
CHESTERFIELD,2024,3,9.5,1,76420,76.42,0.01308557969118032,0.0013774294411768757
CHESTERFIELD,2024,4,8.0,1,76420,76.42,0.01308557969118032,0.00163569746139754
CHESTERFIELD,2024,9,4.0,1,76420,76.42,0.01308557969118032,0.00327139492279508
CHESTERFIELD,2024,10,6.0,1,76420,76.42,0.01308557969118032,0.0021809299485300534
CHESTERFIELD,2024,11,10.5,1,76420,76.42,0.01308557969118032,0.001246245684874316
CHESTERFIELD,2024,12,7.5,2,76420,76.42,0.02617115938236064,0.003489487917648085
CHESTERFIELD,2025,2,12.5,1,76420,76.42,0.01308557969118032,0.0010468463752944255
CHESTERFIELD,2025,4,13.0,1,76420,76.42,0.01308557969118032,0.0010065830531677169
CHESTERFIELD,2025,5,5.0,1,76420,76.42,0.01308557969118032,0.002617115938236064
CHESTERFIELD,2025,6,4.5,4,76420,76.42,0.05234231876472128,0.011631626392160284
COVENTRY,2024,2,9.0,3,344285,344.285,0.00871371102429673,0.0009681901138107478
COVENTRY,2024,6,8.0,7,344285,344.285,0.020331992390025703,0.002541499048753213
COVENTRY,2024,7,9.0,22,344285,344.285,0.06390054751150935,0.00710006083461215
COVENTRY,2024,8,6.0,8,344285,344.285,0.02323656273145795,0.0038727604552429916
COVENTRY,2024,9,5.0,2,344285,344.285,0.005809140682864487,0.0011618281365728975
COVENTRY,2024,10,5.0,14,344285,344.285,0.040663984780051406,0.00813279695601028
COVENTRY,2024,11,10.0,7,344285,344.285,0.020331992390025703,0.00203319923900257
COVENTRY,2024,12,7.0,32,344285,344.285,0.0929462509258318,0.013278035846547399
COVENTRY,2025,1,10.0,26,344285,344.285,0.07551882887723833,0.007551882887723833
